"Ativo","Data","Último (R$)","Var. Dia (%)","Var. Sem. (%)","Var. Mês (%)","Var. Ano (%)","Var. 12M (%)","Val. Mín","Val. Máx","Volume"
"RAIZ4","23/07","1,54","5,48","1,32","-6,67","-28,70","-49,17","1,46","1,56","28,73 M"
"CVCB3","23/07","2,43","4,74","1,67","1,25","76,09","32,07","2,32","2,45","45,98 M"
"NATU3","23/07","9,53","4,27","0,21","-13,76","-25,31","-36,42","9,11","9,53","78,1 M"
"MRVE3","23/07","6,21","4,19","4,37","-2,51","16,95","-6,76","5,97","6,33","150,13 M"
"MGLU3","23/07","7,80","4,00","-1,02","-20,81","23,67","-34,00","7,39","7,90","304,82 M"
"UGPA3","23/07","16,26","3,90","3,57","-7,30","5,36","-25,94","15,58","16,34","162,36 M"
"CPFE3","23/07","38,50","3,44","0,84","-5,78","31,24","26,40","37,01","38,60","94,96 M"
"AURE3","23/07","9,72","3,18","8,72","-4,42","11,61","-20,42","9,48","9,87","99,56 M"
"AZZA3","23/07","37,12","3,14","4,01","-13,67","25,49","-28,41","35,80","37,67","85,39 M"
"BRKM5","23/07","9,01","3,09","8,82","-0,66","-22,19","-50,44","8,65","9,04","84,62 M"
"BEEF3","23/07","5,24","2,95","2,34","6,94","27,46","2,65","5,07","5,26","99,09 M"
"TOTS3","23/07","42,87","2,90","2,81","1,56","61,34","55,65","41,60","43,48","395,34 M"
"BRAV3","23/07","19,18","2,84","2,35","10,23","-18,45","-28,11","18,65","19,45","185,46 M"
"COGN3","23/07","2,64","2,72","1,93","-6,05","149,10","65,56","2,56","2,69","162,19 M"
"MULT3","23/07","25,75","2,63","2,02","-5,37","26,25","6,31","24,84","25,77","172,12 M"
"USIM5","23/07","4,36","2,59","11,22","5,83","-18,05","-47,41","4,19","4,40","194,06 M"
"CSNA3","23/07","8,77","2,45","12,15","17,88","-1,02","-23,49","8,31","8,80","194,92 M"
"B3SA3","23/07","13,39","2,45","3,24","-8,16","31,50","22,36","13,06","13,50","451,14 M"
"GOAU4","23/07","9,63","2,45","7,00","7,84","-4,62","-5,67","9,38","9,70","160,33 M"
