"Ativo","Data","Último (R$)","Var. Dia (%)","Var. Sem. (%)","Var. Mês (%)","Var. Ano (%)","Var. 12M (%)","Val. Mín","Val. Máx","Volume"
"RADL3","06/08","17,80","18,67","29,93","32,15","-18,22","-38,31","17,42","18,07","1,12 B"
"MRVE3","06/08","6,37","7,24","6,34","7,06","19,96","0,00","6,20","6,44","113,36 M"
"BEEF3","06/08","5,25","6,28","6,28","6,28","27,70","-1,81","5,19","5,32","143,05 M"
"ASAI3","06/08","10,15","5,62","4,64","7,86","83,05","3,58","10,00","10,24","303,56 M"
"LREN3","06/08","17,77","5,21","7,76","9,22","49,84","42,95","17,69","17,89","494,31 M"
"DIRR3","06/08","41,24","4,88","5,15","6,45","70,88","70,01","40,53","41,26","133,32 M"
"NATU3","06/08","9,14","4,70","2,58","1,22","-28,37","-40,10","9,06","9,17","94,53 M"
"AZZA3","06/08","37,03","3,99","5,02","3,78","25,19","-23,91","36,46","37,06","84,82 M"
"ELET3","06/08","39,07","3,50","3,14","3,33","16,87","8,93","38,76","39,34","491,69 M"
"ELET6","06/08","42,00","3,19","2,31","2,69","11,41","5,71","41,73","42,48","150,13 M"
"AURE3","06/08","9,85","3,03","2,07","6,26","13,11","-14,56","9,78","9,88","55,03 M"
"RDOR3","06/08","34,38","2,87","6,11","5,78","36,60","25,78","33,92","34,65","289,32 M"
"CPLE6","06/08","12,13","2,80","1,68","2,28","37,78","28,67","12,03","12,16","265,11 M"
"WEGE3","06/08","38,16","2,77","2,64","2,83","-26,64","-20,77","37,90","38,16","540,98 M"
"FLRY3","06/08","14,58","2,39","2,39","1,60","25,90","3,66","14,34","14,58","59 M"
"RENT3","06/08","35,40","2,34","3,00","2,22","12,37","-17,19","35,40","35,82","260,72 M"
"USIM5","06/08","4,38","2,34","-0,23","0,00","-17,67","-24,09","4,37","4,50","166,45 M"
"CYRE3","06/08","24,74","2,23","0,94","0,90","52,34","33,52","24,63","24,90","219,7 M"
"UGPA3","06/08","17,07","2,15","0,89","-0,58","10,60","-19,75","16,83","17,07","101,4 M"
"VIVT3","06/08","32,70","2,03","3,55","3,88","45,59","41,54","32,69","32,89","334,32 M"
"CMIG4","06/08","10,44","1,95","0,97","1,06","3,15","14,36","10,35","10,45","224,71 M"
"MGLU3","06/08","7,34","1,94","1,66","3,97","16,37","-33,06","7,34","7,43","197,18 M"
"COGN3","06/08","2,82","1,81","1,81","3,30","166,09","98,65","2,71","2,84","198,68 M"
"ITSA4","06/08","10,71","1,71","3,58","3,48","30,84","22,78","10,70","10,79","406,83 M"
"ALOS3","06/08","21,95","1,67","1,90","3,00","25,23","3,92","21,62","21,95","180,39 M"
"SBSP3","06/08","109,38","1,65","0,47","0,99","27,34","25,70","108,47","109,50","645,54 M"
"SMFT3","06/08","21,55","1,65","2,86","4,01","27,75","7,61","21,47","21,67","144,17 M"
"IRBR3","06/08","46,02","1,52","3,84","1,14","8,41","60,57","45,71","46,30","43,56 M"
"ENEV3","06/08","13,70","1,48","1,26","1,86","30,10","7,54","13,59","13,77","113,21 M"
"CPFE3","06/08","37,97","1,44","0,11","0,16","29,43","24,51","37,71","38,28","140,97 M"
"MULT3","06/08","25,83","1,33","0,70","2,09","26,64","5,43","25,59","25,83","135,27 M"
"BBSE3","06/08","34,38","1,33","2,81","2,02","0,84","8,59","34,38","34,64","665,33 M"
"YDUQ3","06/08","13,31","1,29","2,31","2,86","62,00","34,87","13,21","13,51","110,55 M"
"SUZB3","06/08","51,62","1,28","-0,23","-1,02","-16,45","2,22","51,27","51,70","259,16 M"
"ISAE4","06/08","21,54","1,27","-0,28","-0,60","2,01","-3,05","21,35","21,57","98,13 M"
"ITUB4","06/08","36,14","1,26","3,46","2,85","36,99","27,07","36,14","36,49","3,08 B"
"TIMS3","06/08","21,67","1,21","4,58","4,64","60,81","38,80","21,54","21,71","182,81 M"
"PETZ3","06/08","4,23","1,20","4,70","6,82","3,93","27,11","4,20","4,28","44,54 M"
"BRFS3","06/08","19,57","1,14","-3,69","-2,39","-22,83","-3,68","19,38","19,58","170,32 M"
"B3SA3","06/08","12,72","1,11","1,03","1,11","24,92","19,33","12,65","12,79","454,12 M"
"VIVA3","06/08","27,31","1,11","6,18","7,44","46,69","18,40","27,02","27,41","210,87 M"
